customerid,customername,segment
DB-13270,Deborah Brumfield,Home Office
CR-12820,Cyra Reiten,Home Office
CM-12655,Corinna Mitchell,Home Office
SD-20485,Shirley Daniels,Home Office
SC-20050,Sample Company A,Home Office
BE-11335,Bill Eplett,Home Office
TT-21460,Tonja Turnell,Home Office
PL-18925,Paul Lucas,Home Office
PC-19000,Pauline Chand,Home Office
BT-11305,Beth Thompson,Home Office
MZ-17335,Maria Zettner,Home Office
MG-17650,Matthew Grinstein,Home Office
BC-11125,Becky Castell,Home Office
FC-14245,Frank Carlisle,Home Office
JS-15940,Joni Sundaresam,Home Office
CD-12790,Cynthia Delaney,Home Office
MG-17890,Michael Granlund,Home Office
RS-19870,Roy Skaria,Home Office
SR-20740,Steven Roelle,Home Office
ML-17755,Max Ludwig,Home Office
AS-10135,Adrian Shami,Home Office
VF-21715,Vicky Freymann,Home Office
SR-20425,Sharelle Roach,Home Office
SW-20350,Sean Wendt,Home Office
MA-17995,Michelle Arnett,Home Office
JP-16135,Julie Prescott,Home Office
SC-20680,Steve Carroll,Home Office
CL-12700,Craig Leslie,Home Office
SL-20155,Sara Luxemburg,Home Office
VM-21685,Valerie Mitchum,Home Office
SN-20560,Skye Norling,Home Office
KB-16405,Katrina Bavinger,Home Office
RB-19465,Rick Bensley,Home Office
BF-11170,Ben Ferrer,Home Office
SM-20320,Sean Miller,Home Office
NK-18490,Neil Knudson,Home Office
EK-13795,Eileen Kiefer,Home Office
CH-12070,Cathy Hwang,Home Office
MO-17800,Meg O'Connel,Home Office
RD-19810,Ross DeVincentis,Home Office
NP-18685,Nora Pelletier,Home Office
RM-19675,Robert Marley,Home Office
MT-18070,Michelle Tran,Home Office
JJ-15760,Joel Jenkins,Home Office
VP-21730,Victor Preis,Home Office
AB-10060,Adam Bellavance,Home Office
VT-21700,Valerie Takahito,Home Office
PM-19135,Peter McVee,Home Office
TW-21025,Tamara Willingham,Home Office
MG-17875,Michael Grace,Home Office
SJ-20125,Sanjit Jacobs,Home Office
SS-20515,Shirley Schmidt,Home Office
EL-13735,Ed Ludwig,Home Office
RB-19705,Roger Barcio,Home Office
TH-21550,Tracy Hopkins,Home Office
CR-12625,Corey Roper,Home Office
NL-18310,Nancy Lomonaco,Home Office
PN-18775,Parhena Norris,Home Office
TC-21535,Tracy Collins,Home Office
AG-10765,Anthony Garverick,Home Office
DA-13450,Dianna Arnett,Home Office
ME-17320,Maria Etezadi,Home Office
LB-16795,Laurel Beltran,Home Office
JK-16120,Julie Kriz,Home Office
KF-16285,Karen Ferguson,Home Office
BD-11560,Brendan Dodson,Home Office
DW-13480,Dianna Wilson,Home Office
CC-12100,Chad Cunningham,Home Office
PH-18790,Patricia Hirasaki,Home Office
RD-19660,Robert Dilbeck,Home Office
BE-11455,Brad Eason,Home Office
TB-21190,Thomas Brumley,Home Office
DP-13390,Dennis Pardue,Home Office
CR-12580,Clay Rozendal,Home Office
PS-18970,Paul Stevenson,Home Office
HP-14815,Harold Pawlan,Home Office
MH-17290,Marc Harrigan,Home Office
DB-13360,Dennis Bolton,Home Office
GM-14455,Gary Mitchum,Home Office
